account,v5 balance,v6 balance,scale factor used
013e78f57f57346d084219cf8ca5a817,2906.119944,102586.166817,35.3000456945352
013ec1be1ca1146adf17380237f7a708,1,35.300045,35.300045
014633b90bce6b494591cb2e674db8ef,0.776676,27.416698,35.3000453213438
0146768f0ff8757fcc27aba3ada42020,1.985099,70.074085,35.3000454889152
015312afe20a01749e26b8c289a01ad8,602.957216,21284.417276,35.3000456934576
0159945b4b1d4d89ea38e63b74b9ac4d,3062.44336,108104.390545,35.3000456945594
015c71d930fadcf150cce81d9232c17f,0.999976,35.299198,35.3000452010848
0161ede19a4ccfeb63a02ad2f98a537c,217.404402,7674.385324,35.3000456908872
016302eecf0048173c2572550f1ee5b8,3145.001424,111018.693977,35.3000456946693
017112cf2fa389c504f6838d44c94fb4,7.354539,259.615562,35.3000455908929
01711c2a0ebe86ae9637724f8105ab01,47.243468,1667.696579,35.3000456909726
0172a1a46e60f3b2e5e02701bba6377c,0.986053,34.807715,35.3000447237623
017cc6c3fb5db7c94565f5cf90e7dc2f,0.831866,29.364907,35.3000447187408
0180de7832419fa23d6ff1d7f29f532a,47860.751394,1689486.711191,35.3000456947026
01840402b9f73e24d38e18a3892fca35,171.961476,6070.24796,35.3000456916292
018bcf3a0a4e458f795db0382d057f70,299.514259,10572.867028,35.3000456916477
019155b43fa6560750aa170edf857c3d,1316.467534,46471.364105,35.3000456941007
01939c909a21c09e6ece032b5a367f03,4708.944118,166225.942539,35.3000456946599
01939d826019eeb760a33bdef6a2e9e4,0.273234,9.645172,35.3000431864263
01948140963b2026fb1c673137d83633,0.909064,32.09,35.3000448813285
019481f7fe26f7284d53c923e1ac65f0,0.989214,34.919299,35.3000452884816
01963c353b5c8b432232cb8988b1276f,1075005.996416,37947760.79558,35.3000456947174
0196741f32340cb0c31dc8442e8caaca,1.98977,70.238971,35.3000452313584
01968d2cf58e0964d184bc2d36c1ac7a,3820.865698,134876.733732,35.3000456945137
019785cbc6aa979da92ff7f511851f3e,205.660184,7259.813892,35.3000456909053
0197f075a52354b3d9f276293dbe3f84,1,35.300045,35.300045
0199d4576f756d0b74575a506b2182f3,406.728713,14357.542154,35.3000456940939
01a22db1355c533cec82f11f19d6e1d1,384.95688,13588.995454,35.3000456934294
01abd997093ab4a36c93a62d06b09f23,0.977239,34.496581,35.300045331797
01ad918b68b1fc38dfa328cbdb453579,1,35.300045,35.300045
01b1c66980bcc25a03199058d1ba0d70,111.537628,3937.283365,35.3000456939966
01b84a8e750f3f55b07b4ffb9ed7398c,0.117351,4.142495,35.3000400507878
01b8a6ab3ec40150dc96054e171ae118,1,35.300045,35.300045
01bd6c8f843f9bb13d98ae05d69d5350,14645.174327,516975.32295,35.3000456947036
01c28f37b19336f23ce323da50714b57,7786.895106,274877.753061,35.3000456946184
01d194b46da460498f9f54593a52e213,0.985717,34.795855,35.3000455505992
01d2c531008d5b01f42cf8ad9fe8a001,274.79447,9700.257347,35.3000456923314
01dd6f19bbcd2bfe6830df7199a9ae6c,20143.427523,711063.91201,35.300045694711
01de846e3ad90ce433029a6b73792e41,5659.875252,199793.855022,35.3000456947174
01e19a9907c834c6d9f24024fd195718,1172.080517,41374.495807,35.3000456938745
01e2ab413702f22b4b51dbc6f74971b7,1823.997313,64387.188495,35.3000456942011
01e9f9386b1f6580da45e5a38d95ae94,1,35.300045,35.300045
01ea379e101a610fceeb4b2ce515d2ec,846.051135,29865.643725,35.3000456940466
01eadc8ecb916f54e0c63d5c9cdc165a,0.99,34.947045,35.3000454545455
01eaee9924e46666710628779d8d66c0,191.851256,6772.358103,35.3000456926902
01f3d570c6ef5f3cd7f61c545ca67154,0.106975,3.776222,35.3000420659033
01f536cb719b34c2082d8fdf1e3453c0,0.396403,13.993044,35.300045660603
01f5fc693e4d40ba24d4a5e9193b9c27,1,35.300045,35.300045
01f7e4dbcc509cd46de5a739be474849,0.706298,24.932351,35.3000447403221
01fedba1258cd2924b07db1ccdc43de2,8.086365,285.449054,35.3000456942025
020284d1df2f1ddc0e74ee6a4dac39af,266.258053,9398.921437,35.3000456928903
02047e3454ecdb5f3d9942430d346c88,1,35.300045,35.300045
02072d5f1d5aecade8046b397121d32b,176.588547,6233.583778,35.3000456932238
020ef9ead6bea6c3332fc092679835fd,3995.851185,141053.729419,35.3000456945195
02189f985b099a1d04a1078a05658780,201.902563,7127.169699,35.3000456908514
0218f8a3d13f5fac838a7a36732f4ab7,1,35.300045,35.300045
021c6c315a12eb02a34a03f28def27ec,111.303948,3929.03445,35.3000456911016
021f03fdd39cc73ad617e4baf32bb474,1,35.300045,35.300045
0220edbd4ba08a0cc548ed95e599875a,424.048072,14968.916318,35.300045693876
0225d072fc8976be3c0d01bb77453d1c,38.421959,1356.296908,35.3000456848127
022856e446b66bee7f9b8a6fa2b5cc5e,102.820392,3629.564535,35.3000456854901
0236fc6496581288e7118ae8079d0418,5183.48421,182977.22947,35.3000456945542
023a0b07b93e398375228892d69e617e,262.001622,9248.669228,35.3000456920835
023abf4444dc3315954a16d77ff4584d,82.485249,2911.733058,35.300045684532
023c1e69f100e1dca6d9022e58bd158a,0.716375,25.28807,35.3000453673007
023cbe6b908f9131f4a8186998c82dd0,1058.69525,37371.990701,35.3000456939804
0243776ea8ae55f91b79dd46a9ccdfe7,1173.104704,41410.649655,35.3000456939605
02485b620ce54f8943d666a3db932e28,9672.762596,341448.961632,35.3000456946188
024c8ce675d9bb3c30aafc0a35141c80,82.649985,2917.548247,35.3000456926883
024df74a003cfc31926ad0506e13e25a,0.95,33.535043,35.3000452631579
024ecf1472612625bbdc6ab9bc34f7fc,10878.580296,384014.381542,35.3000456946758
024fd6d974e6563fe4780ac0bb823b90,1885.507835,66558.512733,35.300045694586
0257e4a2b8dde3b042d748708034782e,0.986936,34.838885,35.3000447850722
02586288f17f3bf2b9c54fb6f1429258,14135.985763,499000.943373,35.3000456946626
025a4cfbbc36a620fe7ecf1c83bae307,1,35.300045,35.300045
025fa7d7acf810f045f9be4c5abdd8b6,0.988138,34.881316,35.3000451353961
026bbdbf7a34553128dac4b3c1a8e96a,1,35.300045,35.300045
